param,metric,mean,std
50,op_norm,0.31230673856244195,0.27409267568436274
50,avg_coeff_err,0.020006614705705743,0.01779235673582095
152,op_norm,0.11057016334211546,0.06762532006864652
152,avg_coeff_err,0.006826395828696416,0.003909633064088146
255,op_norm,0.07419179988861918,0.03332315374409466
255,avg_coeff_err,0.0046505090050105915,0.0019371673781747188
357,op_norm,0.07656270760913558,0.03462337210454859
357,avg_coeff_err,0.00472760065161025,0.0020146519818578464
460,op_norm,0.05654073951376526,0.030083371643606693
460,avg_coeff_err,0.0035221545225441638,0.0017588605195090357
563,op_norm,0.06873012178143403,0.04087960750144586
563,avg_coeff_err,0.004269281990076743,0.0024781207763879265
665,op_norm,0.04642210691286926,0.024483728184112683
665,avg_coeff_err,0.0028729760378995214,0.0014396649517051038
768,op_norm,0.051563670650800655,0.03963324912208428
768,avg_coeff_err,0.003219843807484082,0.0023675062522160594
871,op_norm,0.03957483055760776,0.02678439868159882
871,avg_coeff_err,0.0024896072343432666,0.0015901092375583594
973,op_norm,0.04671993747096406,0.023649684793599503
973,avg_coeff_err,0.002865546599321776,0.00140727525756017
1076,op_norm,0.046373184437657346,0.03513322325797753
1076,avg_coeff_err,0.00289516142313978,0.00211002668465708
1178,op_norm,0.03839232616914248,0.02515001626029269
1178,avg_coeff_err,0.0023866388069683523,0.0015058103740818018
1281,op_norm,0.03817376152144318,0.022696454551185453
1281,avg_coeff_err,0.0023539854243361186,0.0013495432589727774
1384,op_norm,0.0409496868179014,0.023064714313890712
1384,avg_coeff_err,0.002528494534756621,0.0013669154483931228
1486,op_norm,0.03808666609857462,0.019441962844225984
1486,avg_coeff_err,0.00233178143556182,0.0011528120113911188
1589,op_norm,0.03589364177809892,0.024156236510660973
1589,avg_coeff_err,0.002232188158485776,0.0014425230091211741
1692,op_norm,0.037377620449796256,0.016997783086156078
1692,avg_coeff_err,0.0022874689713148523,0.0010143224221784398
1794,op_norm,0.03555780208384694,0.022722317016144595
1794,avg_coeff_err,0.0022040624100132635,0.0013416057435277618
1897,op_norm,0.030391814778449815,0.018604360930180548
1897,avg_coeff_err,0.001882888868944925,0.0011054835571521972
2000,op_norm,0.03162352659361305,0.022504441362454032
2000,avg_coeff_err,0.0019516938659653572,0.0013405199226928575
