param,metric,mean,std
2000,op_norm,1.5521557567951803,0.5703750050550861
2000,avg_coeff_err,0.1101529683330075,0.041823294257237305
4500,op_norm,0.5848375239476158,0.3614881714210414
4500,avg_coeff_err,0.040747753849532706,0.025394855414833974
7000,op_norm,0.3765853784921619,0.1620991149737195
7000,avg_coeff_err,0.025987354680077457,0.01107679628296666
9500,op_norm,0.25491973083917785,0.0851347148055195
9500,avg_coeff_err,0.017669345841257355,0.005976846104774791
12000,op_norm,0.18304788657424254,0.07349166657712129
12000,avg_coeff_err,0.012760674688377341,0.005360578892124127
14500,op_norm,0.1474563660319067,0.06304829161049401
14500,avg_coeff_err,0.01032263749407936,0.004497514220634505
17000,op_norm,0.10817908615448896,0.04636018478440803
17000,avg_coeff_err,0.007444868895685538,0.003206183408733259
19500,op_norm,0.111865411285645,0.043104528188631384
19500,avg_coeff_err,0.007853523403374621,0.0031889470857251845
22000,op_norm,0.10530144281215362,0.047530804379960254
22000,avg_coeff_err,0.007351666860516189,0.0032990073345054998
24500,op_norm,0.08695469891077395,0.040746459663139424
24500,avg_coeff_err,0.006130528559133305,0.0028661290187091916
27000,op_norm,0.08302704174401135,0.04037058056653208
27000,avg_coeff_err,0.005795814951900615,0.002892047791729053
29500,op_norm,0.08318490510696352,0.04242278622219568
29500,avg_coeff_err,0.005776861689309909,0.002899143825682233
32000,op_norm,0.07231060715808979,0.03148033029412726
32000,avg_coeff_err,0.005080315122199991,0.002250372931854113
34500,op_norm,0.0698814578286889,0.03610799583771697
34500,avg_coeff_err,0.0049957556988442205,0.002541247945909753
37000,op_norm,0.0599596148447305,0.029615213413204437
37000,avg_coeff_err,0.00417933657262976,0.0020188959414136265
39500,op_norm,0.060743145333823634,0.029881110006047068
39500,avg_coeff_err,0.004244558353804582,0.002114988389677664
42000,op_norm,0.06906500439360468,0.025429581537412888
42000,avg_coeff_err,0.004883043752040991,0.0017912969926459287
44500,op_norm,0.05544343729154583,0.02389635925145997
44500,avg_coeff_err,0.0038490737990289656,0.0017150806442688107
47000,op_norm,0.051567513871576764,0.02480245622847302
47000,avg_coeff_err,0.003627132828869658,0.0018014709008398679
49500,op_norm,0.0604671747530183,0.029051982718904842
49500,avg_coeff_err,0.004290580634558399,0.0021262197130888826
