idx,name,label,true_h,exact_h,noisy_h,err_exact,err_noisy
0,X_0,XIIIIIIIII,0.13716175827092716,0.1371617582709207,0.16524395732918412,-6.467049118441537e-15,0.028082199058256957
1,X_1,IXIIIIIIII,-0.33560772275377976,-0.33560772275380507,-0.3345947248485676,-2.531308496145357e-14,0.001012997905212143
2,X_2,IIXIIIIIII,-0.21034022274518713,-0.2103402227452072,-0.20955093748416473,-2.0067281170099704e-14,0.0007892852610223988
3,X_3,IIIXIIIIII,-0.23740978914774136,-0.23740978914775707,-0.2374215190054024,-1.5709655798445965e-14,-1.1729857661041398e-05
4,X_4,IIIIXIIIII,-0.24377769253674794,-0.24377769253677056,-0.2427580238143892,-2.2620794126737565e-14,0.0010196687223587297
5,X_5,IIIIIXIIII,0.23475181726742966,0.23475181726744884,0.23442232128248205,1.917910275039958e-14,-0.0003294959849476087
6,X_6,IIIIIIXIII,0.31843241549759393,0.3184324154975783,0.3162012377688366,-1.5654144647214707e-14,-0.002231177728757361
7,X_7,IIIIIIIXII,-0.1680566784184019,-0.1680566784183975,-0.1670831184073361,4.413136522884997e-15,0.0009735600110657994
8,X_8,IIIIIIIIXI,0.24051357141091437,0.2405135714108948,0.24002285687879385,-1.9567680809018384e-14,-0.0004907145321205175
9,X_9,IIIIIIIIIX,0.2932701995555932,0.29327019955557154,0.29233898160433064,-2.1649348980190553e-14,-0.0009312179512625529
10,Z0Z1,ZZIIIIIIII,0.009756140755392299,0.009756140755386349,0.010278182695765442,-5.950101522600448e-15,0.0005220419403731431
11,Z1Z2,IZZIIIIIII,-0.19183299317939578,-0.19183299317940494,-0.1904802731783709,-9.159339953157541e-15,0.0013527200010248763
12,Z2Z3,IIZZIIIIII,0.2438886372374126,0.24388863723742432,0.243288789508294,1.1712852909795402e-14,-0.0005998477291186133
13,Z3Z4,IIIZZIIIII,-0.21530229813065208,-0.21530229813065574,-0.21432383880829503,-3.6637359812630166e-15,0.0009784593223570448
14,Z4Z5,IIIIZZIIII,0.1816271293260163,0.18162712932601352,0.18074297282438662,-2.7755575615628914e-15,-0.0008841565016296793
15,Z5Z6,IIIIIZZIII,0.09773866092802908,0.09773866092802283,0.0981960596938375,-6.2450045135165055e-15,0.0004573987658084283
16,Z6Z7,IIIIIIZZII,0.32148797403453727,0.32148797403451806,0.3187079371655825,-1.9206858326015208e-14,-0.0027800368689547827
17,Z7Z8,IIIIIIIZZI,-0.20165378940352427,-0.20165378940350995,-0.20086725169488912,1.432187701766452e-14,0.0007865377086351544
18,Z8Z9,IIIIIIIIZZ,0.22499648675767245,0.22499648675765577,0.22328568394660345,-1.6681100944992977e-14,-0.001710802811069001
