bond,name,true_h,exact_h,noisy_h,err_exact,err_noisy
0,XX_01,-0.18364309817719682,-0.1836430981771966,-0.1835717130674128,2.220446049250313e-16,7.138510978402235e-05
1,XX_12,-0.06828432135250764,-0.06828432135250723,-0.06830810198301625,4.163336342344337e-16,-2.3780630508604683e-05
2,XX_23,0.23911988667584144,0.23911988667584122,0.23914781932718138,-2.220446049250313e-16,2.7932651339934722e-05
3,XX_34,0.03601384530230569,0.036013845302305815,0.036048913309427805,1.249000902703301e-16,3.506800712211461e-05
4,XX_45,0.17085270011492637,0.17085270011492595,0.17081843928600096,-4.163336342344337e-16,-3.4260828925408715e-05
5,XX_56,0.10714674004258104,0.107146740042581,0.10724605363280255,-4.163336342344337e-17,9.93135902215142e-05
6,XX_67,-0.11816766047524697,-0.11816766047524661,-0.11823022932837964,3.608224830031759e-16,-6.25688531326607e-05
7,XX_78,0.10062039888751406,0.10062039888751395,0.10064935138547702,-1.1102230246251565e-16,2.8952497962961288e-05
8,XX_89,-0.05878001672944498,-0.05878001672944503,-0.05877961306354912,-4.85722573273506e-17,4.0366589586227075e-07
9,XX_910,-0.059855685138349074,-0.059855685138349254,-0.05981004631671156,-1.8041124150158794e-16,4.563882163751559e-05
10,XX_1011,0.018040362222429416,0.01804036222242945,0.018042126655586473,3.469446951953614e-17,1.764433157056683e-06
11,YY_01,-0.2833086024858128,-0.2833086024858125,-0.2833199060311672,2.7755575615628914e-16,-1.130354535439082e-05
12,YY_12,0.22134096774078676,0.22134096774078643,0.22134549798457395,-3.3306690738754696e-16,4.530243787187471e-06
13,YY_23,-0.12459642799173341,-0.12459642799173341,-0.12459568702521855,0.0,7.40966514867214e-07
14,YY_34,0.18571288060213195,0.18571288060213248,0.18569078786407145,5.273559366969494e-16,-2.2092738060502937e-05
15,YY_45,0.025309769648162825,0.025309769648162762,0.02539809913833489,-6.245004513516506e-17,8.832949017206423e-05
16,YY_56,0.2844416422252345,0.28444164222523377,0.2844938166497992,-7.216449660063518e-16,5.2174424564732647e-05
17,YY_67,-0.12253180846646933,-0.12253180846646951,-0.12257051247702741,-1.8041124150158794e-16,-3.87040105580827e-05
18,YY_78,-0.05788872459149064,-0.05788872459149049,-0.05790426072878403,1.457167719820518e-16,-1.5536137293395424e-05
19,YY_89,0.06271118184644822,0.06271118184644824,0.06271745330956677,1.3877787807814457e-17,6.27146311854565e-06
20,YY_910,-0.40984539608559256,-0.40984539608559295,-0.4097737627149439,-3.885780586188048e-16,7.163337064863828e-05
21,YY_1011,0.15371426217997194,0.15371426217997222,0.15376038287328533,2.7755575615628914e-16,4.612069331338953e-05
22,ZZ_01,0.28622350718196177,0.28622350718196177,0.286171008634827,0.0,-5.249854713479385e-05
23,ZZ_12,0.2092061712038966,0.2092061712038966,0.20911460089949127,0.0,-9.157030440531955e-05
24,ZZ_23,0.14013269033456544,0.1401326903345654,0.14012017280477682,-2.7755575615628914e-17,-1.2517529788619308e-05
25,ZZ_34,-0.027102673041717,-0.027102673041716922,-0.027142409426221866,7.632783294297951e-17,-3.973638450486747e-05
26,ZZ_45,0.2380016329186555,0.2380016329186553,0.2380540422535518,-1.942890293094024e-16,5.240933489630839e-05
27,ZZ_56,0.1994075963346108,0.19940759633461083,0.19950877238210873,2.7755575615628914e-17,0.00010117604749793063
28,ZZ_67,0.07289510865553667,0.07289510865553692,0.0729203790073982,2.498001805406602e-16,2.5270351861533813e-05
29,ZZ_78,0.0009495379435814334,0.0009495379435814466,0.0010047007962984726,1.3118846287074604e-17,5.516285271703911e-05
30,ZZ_89,-0.06716667191355423,-0.06716667191355442,-0.06714205453217474,-1.942890293094024e-16,2.46173813794881e-05
31,ZZ_910,-0.2284084271133649,-0.22840842711336565,-0.22841418044582895,-7.494005416219807e-16,-5.753332464053518e-06
32,ZZ_1011,0.22766523675797276,0.22766523675797284,0.2276254348661228,8.326672684688674e-17,-3.980189184996097e-05
