n,m=2n-1,distribution,mean,std,sem,num_samples
4,7,gaussian,7.1871817796e-02,1.8809389118e-01,5.9480511010e-03,1000
5,9,gaussian,2.5624549744e-02,7.2777925543e-02,2.3014400810e-03,1000
6,11,gaussian,9.8335684844e-03,2.6839627709e-02,8.4874355111e-04,1000
7,13,gaussian,4.9427887605e-03,1.3808953118e-02,4.3667743957e-04,1000
8,15,gaussian,2.7657670872e-03,8.6696746943e-03,2.7415918607e-04,1000
9,17,gaussian,1.5636788419e-03,4.8708731678e-03,1.5403053404e-04,1000
10,19,gaussian,9.7691609443e-04,3.6407535035e-03,1.1513073470e-04,1000
11,21,gaussian,7.8141035199e-04,2.4592986417e-03,7.7769851544e-05,1000
12,23,gaussian,5.0247283801e-04,1.8998092679e-03,6.0077244066e-05,1000
13,25,gaussian,3.1292766899e-04,8.6021869283e-04,2.7202503552e-05,1000
14,27,gaussian,2.9935137535e-04,8.6504964834e-04,2.7355271779e-05,1000
15,29,gaussian,1.4326698505e-04,3.9913673183e-04,1.2621811704e-05,1000
16,31,gaussian,1.5243460360e-04,4.9053375602e-04,1.5512039382e-05,1000
17,33,gaussian,8.7636997173e-05,2.4100704850e-04,7.6213120542e-06,1000
18,35,gaussian,8.5255525080e-05,2.3149906519e-04,7.3206432219e-06,1000
19,37,gaussian,6.0134306630e-05,1.5885979948e-04,5.0235879500e-06,1000
20,39,gaussian,5.7817776202e-05,1.6289870451e-04,5.1513093413e-06,1000
21,41,gaussian,4.6330200706e-05,1.5249629136e-04,4.8223561541e-06,1000
22,43,gaussian,4.1638933292e-05,1.4853127818e-04,4.6969714282e-06,1000
23,45,gaussian,3.9911631563e-05,1.2680239845e-04,4.0098439189e-06,1000
24,47,gaussian,2.5537019224e-05,7.8988569169e-05,2.4978378769e-06,1000
25,49,gaussian,2.0927062957e-05,6.0450806876e-05,1.9116223612e-06,1000
26,51,gaussian,1.8622426361e-05,6.1322862781e-05,1.9391991903e-06,1000
27,53,gaussian,1.5117812756e-05,5.3173185372e-05,1.6814837622e-06,1000
28,55,gaussian,1.6520450812e-05,4.9970910456e-05,1.5802189379e-06,1000
29,57,gaussian,1.4778140427e-05,3.9147726590e-05,1.2379598124e-06,1000
30,59,gaussian,1.2531867123e-05,4.1305311287e-05,1.3061886313e-06,1000
31,61,gaussian,1.1608575016e-05,3.2990826582e-05,1.0432615389e-06,1000
32,63,gaussian,9.1075655311e-06,3.1185559623e-05,9.8617398514e-07,1000
33,65,gaussian,7.7303961797e-06,2.2828298299e-05,7.2189417731e-07,1000
34,67,gaussian,6.5415550403e-06,2.1725041245e-05,6.8700612595e-07,1000
35,69,gaussian,6.4631970488e-06,2.1073355784e-05,6.6639802219e-07,1000
36,71,gaussian,6.1319342392e-06,1.8432909610e-05,5.8289978271e-07,1000
37,73,gaussian,5.5592156615e-06,1.9025207822e-05,6.0162989676e-07,1000
38,75,gaussian,4.2504415725e-06,1.3749595437e-05,4.3480038488e-07,1000
39,77,gaussian,3.9509513620e-06,1.1624726874e-05,3.6760614100e-07,1000
40,79,gaussian,3.6248328841e-06,1.0090689243e-05,3.1909561168e-07,1000
41,81,gaussian,3.1986881899e-06,1.0257610363e-05,3.2437412098e-07,1000
42,83,gaussian,3.4022899628e-06,1.0690411213e-05,3.3806048556e-07,1000
43,85,gaussian,2.9377481219e-06,1.0733048507e-05,3.3940879521e-07,1000
