t,alpha,regime
1.000000e-04,-4.53450020,smooth
3.000000e-04,-4.53450016,smooth
1.000000e-03,-4.53449986,smooth
3.000000e-03,-4.53449717,smooth
8.000000e-03,-4.53447866,smooth
2.000000e-02,-4.62911632,smooth
2.119532e-02,-4.62910563,smooth
2.246209e-02,-4.62909363,smooth
2.380456e-02,-4.62908014,smooth
2.522727e-02,-4.62906500,smooth
2.673501e-02,-4.62904799,smooth
2.833287e-02,-4.62902889,smooth
3.002621e-02,-4.62900744,smooth
3.182077e-02,-4.62898335,smooth
3.372258e-02,-4.62895630,smooth
3.573805e-02,-4.62892592,smooth
3.787398e-02,-4.62889181,smooth
4.013756e-02,-4.62885350,smooth
4.253643e-02,-4.62881049,smooth
4.507868e-02,-4.62876218,smooth
4.777286e-02,-4.62870794,smooth
5.062807e-02,-4.62864704,smooth
5.365392e-02,-4.62857865,smooth
5.686061e-02,-4.62850187,smooth
6.025895e-02,-4.62841566,smooth
6.386041e-02,-4.62831887,smooth
6.767710e-02,-4.62821020,smooth
7.172191e-02,-4.62808821,smooth
7.600846e-02,-4.62795127,smooth
8.055120e-02,-4.62779756,smooth
8.536544e-02,-4.62762503,smooth
9.046741e-02,-4.62743139,smooth
9.587431e-02,-4.62721408,smooth
1.016044e-01,-4.62697024,smooth
1.076769e-01,-4.62669664,smooth
1.141123e-01,-4.62638971,smooth
1.209324e-01,-4.62604542,smooth
1.281601e-01,-4.62565930,smooth
1.358197e-01,-4.62522633,smooth
1.439371e-01,-4.62474094,smooth
1.525397e-01,-4.62419689,smooth
1.616564e-01,-4.62358727,smooth
1.713180e-01,-4.62290435,smooth
1.815571e-01,-4.62213960,smooth
1.924081e-01,-4.62128350,smooth
2.039076e-01,-4.62032555,smooth
2.160944e-01,-4.61925411,smooth
2.290095e-01,-4.61805632,smooth
2.426966e-01,-4.61671800,smooth
2.572016e-01,-4.61522351,smooth
2.725736e-01,-4.61355558,smooth
2.888643e-01,-4.61169511,smooth
3.061286e-01,-4.60962090,smooth
3.244248e-01,-4.60730914,smooth
3.438144e-01,-4.60473276,smooth
3.643629e-01,-4.60186023,smooth
3.861395e-01,-4.59865371,smooth
4.092177e-01,-4.59506594,smooth
4.336751e-01,-4.59103518,smooth
4.595942e-01,-4.58647703,smooth
4.870624e-01,-4.58127137,smooth
5.161723e-01,-4.57524218,smooth
5.470220e-01,-4.56812966,smooth
5.797154e-01,-4.55956798,smooth
6.143629e-01,-4.54914868,smooth
6.510810e-01,-4.53683977,smooth
6.899937e-01,-4.52389928,smooth
7.312320e-01,-4.51270633,smooth
7.749350e-01,-4.50427102,smooth
8.212500e-01,-4.49591867,smooth
8.703330e-01,-4.49112724,smooth
9.223496e-01,-4.49108204,smooth
9.774749e-01,-4.48812398,smooth
1.035895e+00,-4.49232664,oscillatory
1.097806e+00,-4.49088915,oscillatory
1.163418e+00,-4.44862537,oscillatory
1.232951e+00,-4.35301243,oscillatory
1.306640e+00,-4.27408140,oscillatory
1.384733e+00,-4.23661050,oscillatory
1.467494e+00,-4.17540280,oscillatory
1.555200e+00,-4.08452873,oscillatory
1.648149e+00,-4.05123280,oscillatory
1.746652e+00,-4.05273689,oscillatory
1.851043e+00,-3.97198239,oscillatory
1.961673e+00,-3.88259945,oscillatory
2.078915e+00,-3.87874338,oscillatory
2.203164e+00,-3.91316341,oscillatory
2.334839e+00,-3.95390534,oscillatory
2.474383e+00,-3.86088457,oscillatory
2.622268e+00,-3.71518811,oscillatory
2.778991e+00,-3.61557321,oscillatory
2.945081e+00,-3.60351069,oscillatory
3.121097e+00,-3.59485183,oscillatory
3.307634e+00,-3.64679507,oscillatory
3.505318e+00,-3.61925120,oscillatory
3.714818e+00,-3.44565337,oscillatory
3.936839e+00,-3.32085337,oscillatory
4.172129e+00,-3.45834768,oscillatory
4.421481e+00,-3.44592524,oscillatory
4.685737e+00,-3.40489866,oscillatory
4.965786e+00,-3.40805313,oscillatory
5.262572e+00,-3.37925907,oscillatory
5.577096e+00,-3.31315322,oscillatory
5.910418e+00,-3.13242648,oscillatory
6.263662e+00,-3.18199043,oscillatory
6.638018e+00,-3.20302777,oscillatory
7.034747e+00,-3.11443032,oscillatory
7.455187e+00,-3.14159864,oscillatory
7.900756e+00,-3.18087078,oscillatory
8.372955e+00,-3.50420943,oscillatory
8.873375e+00,-3.59326566,oscillatory
9.403703e+00,-3.64977206,oscillatory
9.965727e+00,-3.51061244,oscillatory
1.056134e+01,-3.57561076,oscillatory
1.119255e+01,-3.46724108,oscillatory
1.186149e+01,-3.21413836,oscillatory
1.257041e+01,-3.22236160,oscillatory
1.332169e+01,-3.19253497,oscillatory
1.411788e+01,-3.04592112,oscillatory
1.496165e+01,-2.93078199,oscillatory
1.585585e+01,-2.81567809,oscillatory
1.680350e+01,-2.71881392,oscillatory
1.780778e+01,-2.63148609,oscillatory
1.887209e+01,-3.29337833,oscillatory
2.000000e+01,-3.81704539,oscillatory
