t,alpha,regime
1.000000e-04,-4.62920319,smooth
1.661899e-01,-4.62327153,smooth
3.322797e-01,-4.60628108,smooth
4.983696e-01,-4.57899838,smooth
6.644595e-01,-4.53226221,smooth
8.305493e-01,-4.49567466,smooth
9.966392e-01,-4.48838384,smooth
1.162729e+00,-4.44944211,oscillatory
1.328819e+00,-4.26149887,oscillatory
1.494909e+00,-4.14265351,oscillatory
1.660999e+00,-4.05073670,oscillatory
1.827089e+00,-3.99998581,oscillatory
1.993178e+00,-3.87340220,oscillatory
2.159268e+00,-3.89671761,oscillatory
2.325358e+00,-3.95200701,oscillatory
2.491448e+00,-3.83983276,oscillatory
2.657538e+00,-3.68285708,oscillatory
2.823628e+00,-3.61541099,oscillatory
2.989718e+00,-3.59210773,oscillatory
3.155807e+00,-3.60337247,oscillatory
3.321897e+00,-3.64600169,oscillatory
3.487987e+00,-3.62757347,oscillatory
3.654077e+00,-3.49758175,oscillatory
3.820167e+00,-3.36949006,oscillatory
3.986257e+00,-3.33808710,oscillatory
4.152347e+00,-3.45007307,oscillatory
4.318437e+00,-3.45585942,oscillatory
4.484526e+00,-3.43241906,oscillatory
4.650616e+00,-3.39919475,oscillatory
4.816706e+00,-3.43019032,oscillatory
4.982796e+00,-3.40686207,oscillatory
5.148886e+00,-3.39506378,oscillatory
5.314976e+00,-3.37357727,oscillatory
5.481066e+00,-3.30179922,oscillatory
5.647155e+00,-3.30257754,oscillatory
5.813245e+00,-3.20086916,oscillatory
5.979335e+00,-3.07677110,oscillatory
6.145425e+00,-3.08424513,oscillatory
6.311515e+00,-3.19782986,oscillatory
6.477605e+00,-3.20844160,oscillatory
6.643695e+00,-3.20062998,oscillatory
6.809785e+00,-3.19601555,oscillatory
6.975874e+00,-3.17137989,oscillatory
7.141964e+00,-3.05531932,oscillatory
7.308054e+00,-3.06543233,oscillatory
7.474144e+00,-3.15619040,oscillatory
7.640234e+00,-3.29980715,oscillatory
7.806324e+00,-3.23185921,oscillatory
7.972414e+00,-3.16526278,oscillatory
8.138503e+00,-3.19599270,oscillatory
8.304593e+00,-3.45964705,oscillatory
8.470683e+00,-3.48904903,oscillatory
8.636773e+00,-3.35415948,oscillatory
8.802863e+00,-3.51870289,oscillatory
8.968953e+00,-3.63294733,oscillatory
9.135043e+00,-3.57108156,oscillatory
9.301133e+00,-3.64842160,oscillatory
9.467222e+00,-3.68230447,oscillatory
9.633312e+00,-3.72689663,oscillatory
9.799402e+00,-3.55380075,oscillatory
9.965492e+00,-3.51060571,oscillatory
1.013158e+01,-3.54394707,oscillatory
1.029767e+01,-3.57922252,oscillatory
1.046376e+01,-3.56793004,oscillatory
1.062985e+01,-3.54138154,oscillatory
1.079594e+01,-3.38840227,oscillatory
1.096203e+01,-3.35566895,oscillatory
1.112812e+01,-3.41498636,oscillatory
1.129421e+01,-3.53430399,oscillatory
1.146030e+01,-3.52026623,oscillatory
1.162639e+01,-3.40272418,oscillatory
1.179248e+01,-3.25184692,oscillatory
1.195857e+01,-3.22825642,oscillatory
1.212466e+01,-3.20653005,oscillatory
1.229075e+01,-3.17586324,oscillatory
1.245684e+01,-3.16410866,oscillatory
1.262293e+01,-3.28106558,oscillatory
1.278902e+01,-3.33809449,oscillatory
1.295511e+01,-3.29704688,oscillatory
1.312120e+01,-3.23393776,oscillatory
1.328729e+01,-3.20005234,oscillatory
1.345338e+01,-3.11651349,oscillatory
1.361947e+01,-2.94039827,oscillatory
1.378556e+01,-2.81525095,oscillatory
1.395165e+01,-2.90812781,oscillatory
1.411774e+01,-3.04598319,oscillatory
1.428383e+01,-3.06898645,oscillatory
1.444992e+01,-2.96951173,oscillatory
1.461601e+01,-2.88481782,oscillatory
1.478210e+01,-2.93288650,oscillatory
1.494819e+01,-2.92951787,oscillatory
1.511428e+01,-3.07438762,oscillatory
1.528037e+01,-3.30777178,oscillatory
1.544646e+01,-3.20069181,oscillatory
1.561255e+01,-2.92584352,oscillatory
1.577864e+01,-2.82170465,oscillatory
1.594473e+01,-2.79907259,oscillatory
1.611082e+01,-2.74321373,oscillatory
1.627691e+01,-2.80725684,oscillatory
1.644300e+01,-2.81016111,oscillatory
1.660909e+01,-2.76561475,oscillatory
1.677518e+01,-2.71474667,oscillatory
1.694127e+01,-2.70860849,oscillatory
1.710736e+01,-2.62053522,oscillatory
1.727345e+01,-2.48390865,oscillatory
1.743954e+01,-2.59777859,oscillatory
1.760563e+01,-2.66851884,oscillatory
1.777172e+01,-2.63605657,oscillatory
1.793781e+01,-2.65660833,oscillatory
1.810390e+01,-2.75869721,oscillatory
1.826999e+01,-2.88386793,oscillatory
1.843608e+01,-3.19413540,oscillatory
1.860217e+01,-3.33147997,oscillatory
1.876825e+01,-3.33045793,oscillatory
1.893434e+01,-3.31492250,oscillatory
1.910043e+01,-3.43764103,oscillatory
1.926652e+01,-3.59006204,oscillatory
1.943261e+01,-3.49092999,oscillatory
1.959870e+01,-3.48836632,oscillatory
1.976479e+01,-3.52535926,oscillatory
1.993088e+01,-3.71568566,oscillatory
2.009697e+01,-3.89454483,oscillatory
2.026306e+01,-3.90060250,oscillatory
2.042915e+01,-3.88873847,oscillatory
2.059524e+01,-3.91033312,oscillatory
2.076133e+01,-3.79086995,oscillatory
2.092742e+01,-3.66608781,oscillatory
2.109351e+01,-3.65338060,oscillatory
2.125960e+01,-3.59384524,oscillatory
2.142569e+01,-3.47175785,oscillatory
2.159178e+01,-3.27488628,oscillatory
2.175787e+01,-3.17125436,oscillatory
2.192396e+01,-2.94004629,oscillatory
2.209005e+01,-2.77766836,oscillatory
2.225614e+01,-2.81165279,oscillatory
2.242223e+01,-2.95012509,oscillatory
2.258832e+01,-3.05443622,oscillatory
2.275441e+01,-3.09295783,oscillatory
2.292050e+01,-3.08207662,oscillatory
2.308659e+01,-3.00009246,oscillatory
2.325268e+01,-2.98162980,oscillatory
2.341877e+01,-2.97607069,oscillatory
2.358486e+01,-2.98199420,oscillatory
2.375095e+01,-2.96745752,oscillatory
2.391704e+01,-3.02650168,oscillatory
2.408313e+01,-3.02874127,oscillatory
2.424922e+01,-3.06592115,oscillatory
2.441531e+01,-3.25278948,oscillatory
2.458140e+01,-3.31804888,oscillatory
2.474749e+01,-3.05713674,oscillatory
2.491358e+01,-3.11314577,oscillatory
2.507967e+01,-3.28159460,oscillatory
2.524576e+01,-3.45419323,oscillatory
2.541185e+01,-3.43234457,oscillatory
2.557794e+01,-3.38744242,oscillatory
2.574403e+01,-3.37251709,oscillatory
2.591012e+01,-3.27529523,oscillatory
2.607621e+01,-3.38191084,oscillatory
2.624230e+01,-3.41353560,oscillatory
2.640839e+01,-3.56496642,oscillatory
2.657448e+01,-3.49991413,oscillatory
2.674057e+01,-3.35367414,oscillatory
2.690666e+01,-3.19979732,oscillatory
2.707275e+01,-3.20791278,oscillatory
2.723884e+01,-3.32841170,oscillatory
2.740493e+01,-3.29339505,oscillatory
2.757102e+01,-3.33188773,oscillatory
2.773711e+01,-3.37804234,oscillatory
2.790320e+01,-3.31360392,oscillatory
2.806929e+01,-3.20346551,oscillatory
2.823538e+01,-3.16465775,oscillatory
2.840147e+01,-3.21282320,oscillatory
2.856756e+01,-3.29454054,oscillatory
2.873365e+01,-3.26553828,oscillatory
2.889974e+01,-3.28305226,oscillatory
2.906583e+01,-3.17825854,oscillatory
2.923192e+01,-3.22903335,oscillatory
2.939801e+01,-3.24852552,oscillatory
2.956410e+01,-3.22257293,oscillatory
2.973019e+01,-3.26061184,oscillatory
2.989628e+01,-3.20627448,oscillatory
3.006237e+01,-3.18015266,oscillatory
3.022846e+01,-3.20952737,oscillatory
3.039455e+01,-3.32967726,oscillatory
3.056064e+01,-3.54623993,oscillatory
3.072673e+01,-3.71209138,oscillatory
3.089282e+01,-3.72523762,oscillatory
3.105891e+01,-3.56616295,oscillatory
3.122499e+01,-3.29829628,oscillatory
3.139108e+01,-3.09722381,oscillatory
3.155717e+01,-3.08868600,oscillatory
3.172326e+01,-3.08062183,oscillatory
3.188935e+01,-3.12342190,oscillatory
3.205544e+01,-3.06610960,oscillatory
3.222153e+01,-2.87624332,oscillatory
3.238762e+01,-2.83910025,oscillatory
3.255371e+01,-3.03199248,oscillatory
3.271980e+01,-3.11739171,oscillatory
3.288589e+01,-3.16307555,oscillatory
3.305198e+01,-3.08063665,oscillatory
3.321807e+01,-2.96884639,oscillatory
3.338416e+01,-2.94516653,oscillatory
3.355025e+01,-2.78006601,oscillatory
3.371634e+01,-2.67317484,oscillatory
3.388243e+01,-2.78399840,oscillatory
3.404852e+01,-2.97159130,oscillatory
3.421461e+01,-2.91454720,oscillatory
3.438070e+01,-2.82332412,oscillatory
3.454679e+01,-2.74078222,oscillatory
3.471288e+01,-2.79296406,oscillatory
3.487897e+01,-2.83401968,oscillatory
3.504506e+01,-2.77031721,oscillatory
3.521115e+01,-2.79802847,oscillatory
3.537724e+01,-2.71296796,oscillatory
3.554333e+01,-2.56968613,oscillatory
3.570942e+01,-2.54502081,oscillatory
3.587551e+01,-2.68319493,oscillatory
3.604160e+01,-2.70527734,oscillatory
3.620769e+01,-2.70995618,oscillatory
3.637378e+01,-2.71449991,oscillatory
3.653987e+01,-2.81383858,oscillatory
3.670596e+01,-2.92363648,oscillatory
3.687205e+01,-2.86671368,oscillatory
3.703814e+01,-2.95211625,oscillatory
3.720423e+01,-2.97577945,oscillatory
3.737032e+01,-3.04319668,oscillatory
3.753641e+01,-3.01284171,oscillatory
3.770250e+01,-3.13215584,oscillatory
3.786859e+01,-3.32667427,oscillatory
3.803468e+01,-3.41841953,oscillatory
3.820077e+01,-3.32619480,oscillatory
3.836686e+01,-3.37991272,oscillatory
3.853295e+01,-3.37230272,oscillatory
3.869904e+01,-3.28840911,oscillatory
3.886513e+01,-3.23027084,oscillatory
3.903122e+01,-3.33722244,oscillatory
3.919731e+01,-3.55690415,oscillatory
3.936340e+01,-3.67942026,oscillatory
3.952949e+01,-3.75867060,oscillatory
3.969558e+01,-3.82672867,oscillatory
3.986167e+01,-3.98595129,oscillatory
4.002776e+01,-4.16963316,oscillatory
4.019385e+01,-4.19031721,oscillatory
4.035994e+01,-4.11586203,oscillatory
4.052603e+01,-4.01644774,oscillatory
4.069212e+01,-3.91686139,oscillatory
4.085821e+01,-3.87218353,oscillatory
4.102430e+01,-3.78425223,oscillatory
4.119039e+01,-3.70236506,oscillatory
4.135648e+01,-3.61049656,oscillatory
4.152257e+01,-3.35807754,oscillatory
4.168866e+01,-3.25772321,oscillatory
4.185475e+01,-3.25610561,oscillatory
4.202084e+01,-3.30857060,oscillatory
4.218693e+01,-3.19781919,oscillatory
4.235302e+01,-3.04389568,oscillatory
4.251911e+01,-2.93899942,oscillatory
4.268520e+01,-2.97417704,oscillatory
4.285129e+01,-2.87812646,oscillatory
4.301738e+01,-2.66270461,oscillatory
4.318347e+01,-2.59593447,oscillatory
4.334956e+01,-2.54538791,oscillatory
4.351565e+01,-2.59330526,oscillatory
4.368173e+01,-2.60174480,oscillatory
4.384782e+01,-2.65370226,oscillatory
4.401391e+01,-2.73623910,oscillatory
4.418000e+01,-2.54175778,oscillatory
4.434609e+01,-2.50599736,oscillatory
4.451218e+01,-2.54604909,oscillatory
4.467827e+01,-2.54588529,oscillatory
4.484436e+01,-2.53691995,oscillatory
4.501045e+01,-2.48784563,oscillatory
4.517654e+01,-2.33294791,oscillatory
4.534263e+01,-2.31167138,oscillatory
4.550872e+01,-2.21205994,oscillatory
4.567481e+01,-2.35022740,oscillatory
4.584090e+01,-2.68515849,oscillatory
4.600699e+01,-2.92084993,oscillatory
4.617308e+01,-2.91809282,oscillatory
4.633917e+01,-2.69379758,oscillatory
4.650526e+01,-2.60068704,oscillatory
4.667135e+01,-2.62731335,oscillatory
4.683744e+01,-2.70575816,oscillatory
4.700353e+01,-2.54151125,oscillatory
4.716962e+01,-2.56886308,oscillatory
4.733571e+01,-2.56487315,oscillatory
4.750180e+01,-2.53626254,oscillatory
4.766789e+01,-2.46518608,oscillatory
4.783398e+01,-2.62261469,oscillatory
4.800007e+01,-2.77068329,oscillatory
4.816616e+01,-2.72247505,oscillatory
4.833225e+01,-2.76380686,oscillatory
4.849834e+01,-2.89484510,oscillatory
4.866443e+01,-3.06036633,oscillatory
4.883052e+01,-3.17441036,oscillatory
4.899661e+01,-3.20461292,oscillatory
4.916270e+01,-3.20823855,oscillatory
4.932879e+01,-3.30652411,oscillatory
4.949488e+01,-3.26262161,oscillatory
4.966097e+01,-3.06823788,oscillatory
4.982706e+01,-2.98679355,oscillatory
4.999315e+01,-3.16765092,oscillatory
5.015924e+01,-3.16626791,oscillatory
5.032533e+01,-3.27477766,oscillatory
5.049142e+01,-3.38298638,oscillatory
5.065751e+01,-3.49973380,oscillatory
5.082360e+01,-3.61314540,oscillatory
5.098969e+01,-3.74899875,oscillatory
5.115578e+01,-3.79546173,oscillatory
5.132187e+01,-3.71429848,oscillatory
5.148796e+01,-3.47710226,oscillatory
5.165405e+01,-3.32018333,oscillatory
5.182014e+01,-3.40423590,oscillatory
5.198623e+01,-3.52137366,oscillatory
5.215232e+01,-3.58050231,oscillatory
5.231841e+01,-3.49704626,oscillatory
5.248450e+01,-3.25097858,oscillatory
5.265059e+01,-3.10322393,oscillatory
5.281668e+01,-3.00479651,oscillatory
5.298277e+01,-3.19173010,oscillatory
5.314886e+01,-3.18038892,oscillatory
5.331495e+01,-3.25979104,oscillatory
5.348104e+01,-3.12271870,oscillatory
5.364713e+01,-3.01783820,oscillatory
5.381322e+01,-3.00147814,oscillatory
5.397931e+01,-3.01840063,oscillatory
5.414540e+01,-2.94828613,oscillatory
5.431149e+01,-3.00091058,oscillatory
5.447758e+01,-3.12668522,oscillatory
5.464367e+01,-3.19082296,oscillatory
5.480976e+01,-3.25120068,oscillatory
5.497585e+01,-3.37418480,oscillatory
5.514194e+01,-3.46447490,oscillatory
5.530803e+01,-3.56886813,oscillatory
5.547412e+01,-3.52407243,oscillatory
5.564021e+01,-3.51833503,oscillatory
5.580630e+01,-3.59710680,oscillatory
5.597239e+01,-3.59801830,oscillatory
5.613847e+01,-3.62653736,oscillatory
5.630456e+01,-3.65296715,oscillatory
5.647065e+01,-3.68015509,oscillatory
5.663674e+01,-3.59123874,oscillatory
5.680283e+01,-3.57189067,oscillatory
5.696892e+01,-3.66568438,oscillatory
5.713501e+01,-3.61689679,oscillatory
5.730110e+01,-3.54131032,oscillatory
5.746719e+01,-3.66214080,oscillatory
5.763328e+01,-3.72076397,oscillatory
5.779937e+01,-3.73587418,oscillatory
5.796546e+01,-3.77087293,oscillatory
5.813155e+01,-3.75242898,oscillatory
5.829764e+01,-3.56955707,oscillatory
5.846373e+01,-3.63458829,oscillatory
5.862982e+01,-3.72926993,oscillatory
5.879591e+01,-3.75265453,oscillatory
5.896200e+01,-3.73057436,oscillatory
5.912809e+01,-3.62612281,oscillatory
5.929418e+01,-3.59468351,oscillatory
5.946027e+01,-3.55230473,oscillatory
5.962636e+01,-3.63005777,oscillatory
5.979245e+01,-3.62643525,oscillatory
5.995854e+01,-3.58728030,oscillatory
6.012463e+01,-3.42351856,oscillatory
6.029072e+01,-3.24619121,oscillatory
6.045681e+01,-3.21136395,oscillatory
6.062290e+01,-3.42747378,oscillatory
6.078899e+01,-3.51023432,oscillatory
6.095508e+01,-3.54019011,oscillatory
6.112117e+01,-3.50546798,oscillatory
6.128726e+01,-3.46916529,oscillatory
6.145335e+01,-3.52606949,oscillatory
6.161944e+01,-3.58727135,oscillatory
6.178553e+01,-3.54509155,oscillatory
6.195162e+01,-3.42836290,oscillatory
6.211771e+01,-3.46858198,oscillatory
6.228380e+01,-3.47916340,oscillatory
6.244989e+01,-3.26795953,oscillatory
6.261598e+01,-3.03331216,oscillatory
6.278207e+01,-3.06882266,oscillatory
6.294816e+01,-3.09101886,oscillatory
6.311425e+01,-3.15699312,oscillatory
6.328034e+01,-3.17115453,oscillatory
6.344643e+01,-3.14082179,oscillatory
6.361252e+01,-3.11760006,oscillatory
6.377861e+01,-2.97869472,oscillatory
6.394470e+01,-2.90256060,oscillatory
6.411079e+01,-2.94631457,oscillatory
6.427688e+01,-2.83808153,oscillatory
6.444297e+01,-2.71100463,oscillatory
6.460906e+01,-2.63122490,oscillatory
6.477515e+01,-2.73916758,oscillatory
6.494124e+01,-2.85093850,oscillatory
6.510733e+01,-2.98844474,oscillatory
6.527342e+01,-2.93199034,oscillatory
6.543951e+01,-2.85132366,oscillatory
6.560560e+01,-2.73894108,oscillatory
6.577169e+01,-2.67037876,oscillatory
6.593778e+01,-2.70322694,oscillatory
6.610387e+01,-2.67949529,oscillatory
6.626996e+01,-2.79278000,oscillatory
6.643605e+01,-2.84842199,oscillatory
6.660214e+01,-2.82323047,oscillatory
6.676823e+01,-2.93291416,oscillatory
6.693432e+01,-3.01790444,oscillatory
6.710041e+01,-3.03334017,oscillatory
6.726650e+01,-2.83119071,oscillatory
6.743259e+01,-2.74357910,oscillatory
6.759868e+01,-2.69854983,oscillatory
6.776477e+01,-2.86479703,oscillatory
6.793086e+01,-3.05397161,oscillatory
6.809695e+01,-3.21088231,oscillatory
6.826304e+01,-3.09126091,oscillatory
6.842912e+01,-3.02759180,oscillatory
6.859521e+01,-3.03628983,oscillatory
6.876130e+01,-3.01835056,oscillatory
6.892739e+01,-3.10356682,oscillatory
6.909348e+01,-3.18923576,oscillatory
6.925957e+01,-3.08514175,oscillatory
6.942566e+01,-2.99143228,oscillatory
6.959175e+01,-3.13051764,oscillatory
6.975784e+01,-3.23944374,oscillatory
6.992393e+01,-3.23451466,oscillatory
7.009002e+01,-3.34627914,oscillatory
7.025611e+01,-3.51542493,oscillatory
7.042220e+01,-3.66606414,oscillatory
7.058829e+01,-3.77441548,oscillatory
7.075438e+01,-3.79523566,oscillatory
7.092047e+01,-3.71899059,oscillatory
7.108656e+01,-3.57149782,oscillatory
7.125265e+01,-3.61950110,oscillatory
7.141874e+01,-3.62526172,oscillatory
7.158483e+01,-3.72651510,oscillatory
7.175092e+01,-3.66872780,oscillatory
7.191701e+01,-3.57976186,oscillatory
7.208310e+01,-3.42567841,oscillatory
7.224919e+01,-3.21590963,oscillatory
7.241528e+01,-3.08943071,oscillatory
7.258137e+01,-3.21356749,oscillatory
7.274746e+01,-3.32012220,oscillatory
7.291355e+01,-3.33423838,oscillatory
7.307964e+01,-3.38378528,oscillatory
7.324573e+01,-3.46976852,oscillatory
7.341182e+01,-3.27251371,oscillatory
7.357791e+01,-3.06654206,oscillatory
7.374400e+01,-3.05718954,oscillatory
7.391009e+01,-3.17892013,oscillatory
7.407618e+01,-3.15038836,oscillatory
7.424227e+01,-3.04471630,oscillatory
7.440836e+01,-2.98283251,oscillatory
7.457445e+01,-2.92647902,oscillatory
7.474054e+01,-2.87707644,oscillatory
7.490663e+01,-2.68188787,oscillatory
7.507272e+01,-2.64214947,oscillatory
7.523881e+01,-2.81999084,oscillatory
7.540490e+01,-2.88528014,oscillatory
7.557099e+01,-3.13443178,oscillatory
7.573708e+01,-3.10447151,oscillatory
7.590317e+01,-3.04868557,oscillatory
7.606926e+01,-2.98514248,oscillatory
7.623535e+01,-2.79148360,oscillatory
7.640144e+01,-2.74770463,oscillatory
7.656753e+01,-2.86146960,oscillatory
7.673362e+01,-2.90898791,oscillatory
7.689971e+01,-3.10618211,oscillatory
7.706580e+01,-3.29408264,oscillatory
7.723189e+01,-3.04365424,oscillatory
7.739798e+01,-2.92144540,oscillatory
7.756407e+01,-2.84773427,oscillatory
7.773016e+01,-2.87834604,oscillatory
7.789625e+01,-2.99080583,oscillatory
7.806234e+01,-3.13775401,oscillatory
7.822843e+01,-3.13869956,oscillatory
7.839452e+01,-3.20056169,oscillatory
7.856061e+01,-3.10779717,oscillatory
7.872670e+01,-3.15733143,oscillatory
7.889279e+01,-3.42443825,oscillatory
7.905888e+01,-3.51473872,oscillatory
7.922497e+01,-3.47834344,oscillatory
7.939106e+01,-3.57493079,oscillatory
7.955715e+01,-3.62365744,oscillatory
7.972324e+01,-3.64156751,oscillatory
7.988933e+01,-3.50426937,oscillatory
8.005542e+01,-3.46076622,oscillatory
8.022151e+01,-3.54212725,oscillatory
8.038760e+01,-3.55653922,oscillatory
8.055369e+01,-3.53083380,oscillatory
8.071978e+01,-3.72007102,oscillatory
8.088586e+01,-3.73596994,oscillatory
8.105195e+01,-3.64652016,oscillatory
8.121804e+01,-3.64307252,oscillatory
8.138413e+01,-3.46990676,oscillatory
8.155022e+01,-3.36085058,oscillatory
8.171631e+01,-3.42848640,oscillatory
8.188240e+01,-3.36359233,oscillatory
8.204849e+01,-3.37053462,oscillatory
8.221458e+01,-3.28435451,oscillatory
8.238067e+01,-3.40131272,oscillatory
8.254676e+01,-3.34140680,oscillatory
8.271285e+01,-3.34515056,oscillatory
8.287894e+01,-3.33791475,oscillatory
8.304503e+01,-3.23246888,oscillatory
8.321112e+01,-3.08611754,oscillatory
8.337721e+01,-3.13150033,oscillatory
8.354330e+01,-3.22023278,oscillatory
8.370939e+01,-3.22592285,oscillatory
8.387548e+01,-3.20043969,oscillatory
8.404157e+01,-3.13637837,oscillatory
8.420766e+01,-3.11557527,oscillatory
8.437375e+01,-3.18447343,oscillatory
8.453984e+01,-3.07791938,oscillatory
8.470593e+01,-2.99869465,oscillatory
8.487202e+01,-3.06335636,oscillatory
8.503811e+01,-3.09639010,oscillatory
8.520420e+01,-3.05567809,oscillatory
8.537029e+01,-3.11378006,oscillatory
8.553638e+01,-3.21167762,oscillatory
8.570247e+01,-3.17679274,oscillatory
8.586856e+01,-3.13438292,oscillatory
8.603465e+01,-3.20556908,oscillatory
8.620074e+01,-3.21100580,oscillatory
8.636683e+01,-3.22699077,oscillatory
8.653292e+01,-3.17215254,oscillatory
8.669901e+01,-3.27416198,oscillatory
8.686510e+01,-3.24809764,oscillatory
