N_S,sigma_1,sigma_2
20,4.3898091138e-17,2.8602272169e-05
30,9.2929390890e-17,6.5113371269e-05
50,1.6210933376e-16,9.6724388033e-05
75,1.9231860654e-16,1.2315056330e-04
100,2.4728551570e-16,1.5282635147e-04
150,3.1085531500e-16,2.0289213004e-04
200,4.0247006276e-16,2.2676661546e-04
300,4.9669636903e-16,2.7884692120e-04
500,6.8050239709e-16,3.7091227745e-04
750,8.0855940753e-16,4.7239584687e-04
1000,9.4911893030e-16,5.4448818802e-04
1500,1.1383803310e-15,6.6938445027e-04
2000,1.3044158798e-15,7.5799439126e-04
