n,eps,median,q25,q75,n_samples
50,-1.000000e+00,1.5052596777e-05,2.6952399807e-06,2.8665053740e-05,30
50,-9.500000e-01,1.8448240470e-05,5.4305160054e-06,3.4639949136e-05,30
50,-9.000000e-01,6.0269512931e-06,2.0658417525e-06,1.6256107851e-05,30
50,-8.500000e-01,6.3143766313e-06,1.4364299900e-06,1.8570004847e-05,30
50,-8.000000e-01,3.2790146605e-06,1.1961125233e-06,1.3415644240e-05,30
50,-7.500000e-01,6.0798176162e-06,1.8871089101e-06,1.6305832916e-05,30
50,-7.000000e-01,4.9845611434e-06,8.7391996260e-07,2.1107968501e-05,30
50,-6.500000e-01,5.7470783424e-06,4.8598471837e-07,1.2823427566e-05,30
50,-6.000000e-01,3.6149796073e-06,1.5052211975e-06,9.7733067698e-06,30
50,-5.500000e-01,5.2800496122e-06,4.1845896836e-07,1.4043819384e-05,30
50,-5.000000e-01,4.5871669486e-06,8.4896501246e-07,1.1222918647e-05,30
50,-4.500000e-01,4.0701524314e-06,8.8379055364e-07,1.1726090823e-05,30
50,-4.000000e-01,5.7693916364e-07,8.9002454633e-08,2.6345141878e-06,30
50,-3.500000e-01,4.8237182857e-06,1.4134882585e-06,9.8697989433e-06,30
50,-3.000000e-01,1.2892419994e-06,2.6781872609e-07,3.2730193464e-06,30
50,-2.500000e-01,8.9319017772e-07,8.7082951805e-08,3.8761730827e-06,30
50,-2.000000e-01,6.9271856809e-07,1.8932455550e-07,1.5223103376e-06,30
50,-1.500000e-01,3.1143339880e-07,7.2799540993e-08,7.2229535608e-07,30
50,-1.000000e-01,3.8521367230e-07,7.5943337864e-08,8.6899286495e-07,30
50,-5.000000e-02,8.7634516640e-08,2.9087748933e-08,1.9579887469e-07,30
50,0.000000e+00,-4.4881894115e-16,-4.4881894115e-16,-4.4881894115e-16,1
50,5.000000e-02,4.5678587632e-08,8.3711403685e-09,1.7172385434e-07,30
50,1.000000e-01,6.4735285456e-08,1.6796324571e-08,4.5222450490e-07,30
50,1.500000e-01,3.6632943174e-07,5.3275433561e-08,8.5612157469e-07,30
50,2.000000e-01,8.3774123309e-07,2.1044045071e-07,1.8620277327e-06,30
50,2.500000e-01,6.5309916600e-07,7.5956040290e-08,2.5314249147e-06,30
50,3.000000e-01,8.2819241288e-07,1.3747263508e-07,4.8470837361e-06,30
50,3.500000e-01,1.8172151341e-06,4.4140898726e-07,6.3930949654e-06,30
50,4.000000e-01,3.4522198486e-06,7.5380545379e-07,8.1685855796e-06,30
50,4.500000e-01,2.5036318426e-06,3.9644473861e-07,6.2690973005e-06,30
50,5.000000e-01,1.7241817942e-06,6.8007679884e-07,5.5876085772e-06,30
50,5.500000e-01,3.0610324583e-06,8.9538747077e-07,1.0024683481e-05,30
50,6.000000e-01,6.2702833633e-06,2.1943442739e-06,1.5093608949e-05,30
50,6.500000e-01,1.9976508816e-06,1.4559191279e-07,7.8882437353e-06,30
50,7.000000e-01,2.4725741568e-06,4.6263763960e-07,1.3225864734e-05,30
50,7.500000e-01,5.8391726795e-06,1.6272380350e-06,1.5993018808e-05,30
50,8.000000e-01,4.9112759620e-06,1.4396317132e-06,1.2081427006e-05,30
50,8.500000e-01,3.2734348306e-06,1.2183712033e-06,1.1233627992e-05,30
50,9.000000e-01,7.5290207461e-06,2.6413482734e-07,2.1089699795e-05,30
50,9.500000e-01,1.6760144417e-05,3.5980861585e-06,5.1443026623e-05,30
50,1.000000e+00,9.7435446232e-06,1.1825280030e-06,4.3906624344e-05,30
