n,t,observable,mean,std,median,q25,q75,n_realizations
6,0,M_gen,1,3.176787555e-15,1,1,1,30
6,2,M_gen,0.4887228144,0.1254943641,0.4853390401,0.3984238389,0.5392638534,30
6,4,M_gen,0.3568024691,0.105658757,0.3216167331,0.2966281116,0.3867233344,30
6,6,M_gen,0.3457838344,0.09026538571,0.335482181,0.2903545988,0.3580413561,30
6,8,M_gen,0.3453027991,0.08472846422,0.3197706595,0.2993579706,0.3624531039,30
6,10,M_gen,0.352527249,0.07731159904,0.3302182632,0.302903268,0.3736120975,30
6,12,M_gen,0.3562938143,0.07700348189,0.3363901596,0.3040053585,0.3873350188,30
6,14,M_gen,0.3635615727,0.07270888756,0.3528438817,0.3120648457,0.3794372809,30
6,16,M_gen,0.3634237963,0.07064871334,0.3418946742,0.3237240772,0.3739024728,30
6,18,M_gen,0.3798959714,0.07190692751,0.3712633622,0.3398383152,0.39577081,30
6,20,M_gen,0.3736176462,0.07229527273,0.3642384294,0.3325768295,0.3964139355,30
6,22,M_gen,0.3878094588,0.07268646014,0.3748803453,0.3393627238,0.4101744534,30
6,24,M_gen,0.3906884676,0.08588355805,0.3556720052,0.3291231625,0.4358621009,30
6,26,M_gen,0.3832201289,0.09086777193,0.3590834807,0.3250875599,0.4130924044,30
6,28,M_gen,0.3793141252,0.09071594991,0.3510704029,0.3301720955,0.4007945895,30
6,30,M_gen,0.3821504361,0.08724757338,0.3587407032,0.3341808741,0.3962501717,30
6,32,M_gen,0.3799347696,0.07807300967,0.3547894073,0.3405051322,0.3948704412,30
6,34,M_gen,0.3854752331,0.08031251081,0.3836804979,0.3319531257,0.4155436497,30
6,36,M_gen,0.3811246123,0.07926928264,0.3725086478,0.3261619325,0.4045377965,30
6,38,M_gen,0.3835287576,0.08569636986,0.3719916932,0.3202017766,0.4185282552,30
6,40,M_gen,0.3806063825,0.08382018294,0.3609749978,0.3330167565,0.4048740417,30
6,42,M_gen,0.3800548175,0.07936458615,0.3520708784,0.3352341403,0.4047052675,30
6,44,M_gen,0.3891567169,0.07785494894,0.3725892999,0.3320792434,0.4264918676,30
6,46,M_gen,0.3888396709,0.08598111707,0.3833591436,0.3325151149,0.414794066,30
6,48,M_gen,0.3834624669,0.0907932034,0.3521209308,0.3289273505,0.4098695724,30
6,50,M_gen,0.3721726919,0.08779409374,0.3435965384,0.3210568601,0.3818594243,30
6,52,M_gen,0.3713672871,0.08413386194,0.3526844468,0.3276339701,0.3741532394,30
6,54,M_gen,0.3716067904,0.08339653622,0.3559920842,0.3252652621,0.3786520184,30
6,56,M_gen,0.3771451184,0.08582077614,0.3498341213,0.3268033242,0.4247059017,30
6,58,M_gen,0.3846742553,0.08457389822,0.3577171936,0.326156,0.42652901,30
6,60,M_gen,0.3862524103,0.08607257056,0.3659713686,0.3198294334,0.4250068827,30
6,62,M_gen,0.3957820581,0.08222242404,0.3830299457,0.3587100959,0.4346885603,30
6,64,M_gen,0.3900762855,0.08843011726,0.3776340283,0.3406189074,0.4131411852,30
6,66,M_gen,0.3697554564,0.07488297359,0.3486446933,0.3246321111,0.3767670662,30
6,68,M_gen,0.3794564846,0.07214365234,0.3610969192,0.3364696866,0.4059173371,30
6,70,M_gen,0.3764343125,0.07381464865,0.3558383439,0.3311463589,0.4020922233,30
6,72,M_gen,0.3778573582,0.08292943753,0.3632091256,0.317686802,0.4146753367,30
6,74,M_gen,0.3821549939,0.08560735619,0.3704650407,0.3223561062,0.3993940784,30
6,76,M_gen,0.3742024256,0.07963276243,0.3583043455,0.3257475853,0.4082506973,30
6,78,M_gen,0.3732728891,0.07444775863,0.3419825634,0.3310909247,0.3923322071,30
6,80,M_gen,0.3776166001,0.07172265674,0.3629317049,0.3282518373,0.4018228829,30
6,82,M_gen,0.3812209848,0.07416733829,0.3647337426,0.3228712689,0.4051479575,30
6,84,M_gen,0.3981878123,0.07741931661,0.3713055783,0.3420283014,0.4275086491,30
6,86,M_gen,0.3856503854,0.08037033001,0.366377154,0.3322914956,0.4105087322,30
6,88,M_gen,0.3797221288,0.0800793571,0.3652052112,0.3383818581,0.4062726959,30
