n,t,observable,mean,std,median,q25,q75,n_realizations
6,0,autocorrelation,1,4.448733304e-15,1,1,1,30
6,2,autocorrelation,0.4328131619,0.1326312155,0.426258629,0.3441011783,0.4832359674,30
6,4,autocorrelation,0.3248642616,0.1129671611,0.2927274483,0.2606171821,0.3628059847,30
6,6,autocorrelation,0.3155726851,0.09928905668,0.2952423864,0.2518535433,0.3318266319,30
6,8,autocorrelation,0.3166158572,0.09379172672,0.2871090668,0.265368499,0.3427166202,30
6,10,autocorrelation,0.3267448602,0.0856966685,0.3036457112,0.2717819306,0.3492963369,30
6,12,autocorrelation,0.3288589348,0.08867560436,0.3152494684,0.2709347807,0.3693466652,30
6,14,autocorrelation,0.3391419943,0.08152744223,0.3272999959,0.2847644785,0.3565311744,30
6,16,autocorrelation,0.3416855681,0.07827931549,0.3210406358,0.2928310306,0.358947233,30
6,18,autocorrelation,0.36072517,0.07923961833,0.354900954,0.315385245,0.3796959109,30
6,20,autocorrelation,0.3537158394,0.07962712008,0.3466275322,0.3122449049,0.3837205099,30
6,22,autocorrelation,0.3684855848,0.08020612457,0.361461778,0.3201343838,0.3973346297,30
6,24,autocorrelation,0.369588851,0.09535824297,0.3291198556,0.3000376319,0.4279327493,30
6,26,autocorrelation,0.3643190374,0.09678298204,0.3420769263,0.3040631125,0.3979510361,30
6,28,autocorrelation,0.3572426483,0.0992494814,0.3257043595,0.2962146787,0.38208874,30
6,30,autocorrelation,0.3620539788,0.09560251202,0.3398382949,0.3100544745,0.3806923347,30
6,32,autocorrelation,0.3602559054,0.08473642488,0.3336174945,0.3161583372,0.3816823078,30
6,34,autocorrelation,0.3660654607,0.08690024108,0.366576027,0.3129662011,0.3994838343,30
6,36,autocorrelation,0.3616270743,0.08282361937,0.3505168845,0.3020682083,0.3934399564,30
6,38,autocorrelation,0.3641227341,0.09329357303,0.3523041634,0.2993960192,0.4053457415,30
6,40,autocorrelation,0.3577273266,0.09134903529,0.3411660826,0.300500295,0.3878565962,30
6,42,autocorrelation,0.3593332822,0.08668375767,0.3319256322,0.3067103144,0.3897164838,30
6,44,autocorrelation,0.3701764693,0.08594438202,0.354043527,0.3066909374,0.4101703646,30
6,46,autocorrelation,0.3684999138,0.09472201265,0.3668826625,0.3076877552,0.4004181133,30
