family,lattice,boundary,R,k,overall_status,type_count,exact_type_count,max_d_U,max_W_count,max_nnz,runtime_seconds,peak_memory_mb,certificate
dense,chain,open,1,2,exactly_certified,3,3,45,102,510,0.009,28.7,certificates_final/001_dense_chain_open_R1_k2.json
dense,chain,open,1,3,exactly_certified,3,3,45,102,510,0.009,28.7,certificates_final/002_dense_chain_open_R1_k3.json
dense,chain,open,1,4,exactly_certified,3,3,45,102,510,0.009,28.7,certificates_final/003_dense_chain_open_R1_k4.json
dense,chain,open,2,2,exactly_certified,5,5,132,363,2310,0.104,28.9,certificates_final/004_dense_chain_open_R2_k2.json
dense,chain,open,2,3,exactly_certified,5,5,321,2550,19968,3.472,35.0,certificates_final/005_dense_chain_open_R2_k3.json
dense,chain,open,2,4,exactly_certified,5,5,321,2550,19968,3.481,36.4,certificates_final/006_dense_chain_open_R2_k4.json
dense,chain,periodic,1,2,exactly_certified,1,1,45,102,510,0.005,36.4,certificates_final/007_dense_chain_periodic_R1_k2.json
dense,chain,periodic,1,3,exactly_certified,1,1,45,102,510,0.005,36.4,certificates_final/008_dense_chain_periodic_R1_k3.json
dense,chain,periodic,1,4,exactly_certified,1,1,45,102,510,0.005,36.4,certificates_final/009_dense_chain_periodic_R1_k4.json
dense,chain,periodic,2,2,exactly_certified,1,1,132,363,2310,0.038,36.4,certificates_final/010_dense_chain_periodic_R2_k2.json
dense,chain,periodic,2,3,exactly_certified,1,1,321,2550,19968,0.926,38.4,certificates_final/011_dense_chain_periodic_R2_k3.json
dense,chain,periodic,2,4,exactly_certified,1,1,321,2550,19968,0.911,38.9,certificates_final/012_dense_chain_periodic_R2_k4.json
dense,cubic,open,1,2,exactly_certified,10,10,345,1272,5406,1.262,341.0,certificates_final/013_dense_cubic_open_R1_k2.json
dense,cubic,open,1,3,exactly_certified,10,10,345,1272,5406,1.243,341.0,certificates_final/014_dense_cubic_open_R1_k3.json
dense,cubic,open,1,4,exactly_certified,10,10,345,1272,5406,1.236,341.0,certificates_final/015_dense_cubic_open_R1_k4.json
dense,cubic,open,2,2,exactly_certified,35,35,4314,16905,91590,54.552,103.5,certificates_final/016_dense_cubic_open_R2_k2.json
dense,cubic,open,2,3,exactly_certified,35,35,50349,433245,1628160,333.581,1231.2,certificates_final/017_dense_cubic_open_R2_k3.json
dense,cubic,open,2,4,exactly_certified,35,35,230574,2742960,10129920,2059.685,4997.8,certificates_final/018_dense_cubic_open_R2_k4.json
dense,cubic,periodic,1,2,exactly_certified,1,1,345,1272,5406,1.846,341.0,certificates_final/019_dense_cubic_periodic_R1_k2.json
dense,cubic,periodic,1,3,exactly_certified,1,1,345,1272,5406,1.834,341.0,certificates_final/020_dense_cubic_periodic_R1_k3.json
dense,cubic,periodic,1,4,exactly_certified,1,1,345,1272,5406,1.840,341.0,certificates_final/021_dense_cubic_periodic_R1_k4.json
dense,cubic,periodic,2,2,exactly_certified,1,1,4314,16905,91590,3.839,54.6,certificates_final/022_dense_cubic_periodic_R2_k2.json
dense,cubic,periodic,2,3,exactly_certified,1,1,50349,433245,1628160,13.119,889.2,certificates_final/023_dense_cubic_periodic_R2_k3.json
dense,cubic,periodic,2,4,exactly_certified,1,1,230574,2742960,10129920,98.560,4634.5,certificates_final/024_dense_cubic_periodic_R2_k4.json
dense,honeycomb,open,1,2,exactly_certified,6,6,93,273,1248,0.079,353.9,certificates_final/025_dense_honeycomb_open_R1_k2.json
dense,honeycomb,open,1,3,exactly_certified,6,6,93,273,1248,0.083,93.9,certificates_final/026_dense_honeycomb_open_R1_k3.json
dense,honeycomb,open,1,4,exactly_certified,6,6,93,273,1248,0.077,353.9,certificates_final/027_dense_honeycomb_open_R1_k4.json
dense,honeycomb,open,2,2,exactly_certified,15,15,624,2190,12480,3.792,341.0,certificates_final/028_dense_honeycomb_open_R2_k2.json
dense,honeycomb,open,2,3,exactly_certified,15,15,3000,90237,534282,126.152,271.0,certificates_final/029_dense_honeycomb_open_R2_k3.json
dense,honeycomb,open,2,4,exactly_certified,15,15,4539,254991,1527018,457.875,642.8,certificates_final/030_dense_honeycomb_open_R2_k4.json
dense,honeycomb,periodic,1,2,exactly_certified,1,1,93,273,1248,0.027,353.9,certificates_final/031_dense_honeycomb_periodic_R1_k2.json
dense,honeycomb,periodic,1,3,exactly_certified,1,1,93,273,1248,0.028,93.9,certificates_final/032_dense_honeycomb_periodic_R1_k3.json
dense,honeycomb,periodic,1,4,exactly_certified,1,1,93,273,1248,0.028,93.9,certificates_final/033_dense_honeycomb_periodic_R1_k4.json
dense,honeycomb,periodic,2,2,exactly_certified,1,1,624,2190,12480,0.780,341.0,certificates_final/034_dense_honeycomb_periodic_R2_k2.json
dense,honeycomb,periodic,2,3,exactly_certified,1,1,3000,90237,534282,28.789,228.8,certificates_final/035_dense_honeycomb_periodic_R2_k3.json
dense,honeycomb,periodic,2,4,exactly_certified,1,1,4539,254991,1527018,78.182,629.2,certificates_final/036_dense_honeycomb_periodic_R2_k4.json
dense,square,open,1,2,exactly_certified,6,6,159,525,2310,0.188,33.3,certificates_final/037_dense_square_open_R1_k2.json
dense,square,open,1,3,exactly_certified,6,6,159,525,2310,0.167,33.8,certificates_final/038_dense_square_open_R1_k3.json
dense,square,open,1,4,exactly_certified,6,6,159,525,2310,0.176,34.2,certificates_final/039_dense_square_open_R1_k4.json
dense,square,open,2,2,exactly_certified,15,15,1065,3837,22470,9.518,48.9,certificates_final/040_dense_square_open_R2_k2.json
dense,square,open,2,3,exactly_certified,15,15,7059,288633,2042934,768.961,817.2,certificates_final/041_dense_square_open_R2_k3.json
dense,square,open,2,4,exactly_certified,15,15,18804,182928,803634,57.844,615.9,certificates_final/042_dense_square_open_R2_k4.json
dense,square,periodic,1,2,exactly_certified,1,1,159,525,2310,0.048,38.9,certificates_final/043_dense_square_periodic_R1_k2.json
dense,square,periodic,1,3,exactly_certified,1,1,159,525,2310,0.047,38.9,certificates_final/044_dense_square_periodic_R1_k3.json
dense,square,periodic,1,4,exactly_certified,1,1,159,525,2310,0.047,38.9,certificates_final/045_dense_square_periodic_R1_k4.json
dense,square,periodic,2,2,exactly_certified,1,1,1065,3837,22470,1.356,34.5,certificates_final/046_dense_square_periodic_R2_k2.json
dense,square,periodic,2,3,exactly_certified,1,1,7059,288633,2042934,200.053,673.8,certificates_final/047_dense_square_periodic_R2_k3.json
dense,square,periodic,2,4,exactly_certified,1,1,18804,182928,803634,5.911,412.3,certificates_final/048_dense_square_periodic_R2_k4.json
dense,triangular,open,1,2,exactly_certified,9,9,291,948,5406,0.577,83.8,certificates_final/049_dense_triangular_open_R1_k2.json
dense,triangular,open,1,3,exactly_certified,9,9,939,16743,92238,53.587,72.6,certificates_final/050_dense_triangular_open_R1_k3.json
dense,triangular,open,1,4,exactly_certified,9,9,939,16743,92238,53.913,75.0,certificates_final/051_dense_triangular_open_R1_k4.json
dense,triangular,open,2,2,exactly_certified,25,25,2244,8184,51198,30.756,72.7,certificates_final/052_dense_triangular_open_R2_k2.json
dense,triangular,open,2,3,exactly_certified,25,25,24897,178932,921624,90.322,506.6,certificates_final/053_dense_triangular_open_R2_k3.json
dense,triangular,open,2,4,exactly_certified,25,25,127848,1272432,6782136,721.953,2569.8,certificates_final/054_dense_triangular_open_R2_k4.json
dense,triangular,periodic,1,2,exactly_certified,1,1,291,948,5406,0.141,57.8,certificates_final/055_dense_triangular_periodic_R1_k2.json
dense,triangular,periodic,1,3,exactly_certified,1,1,939,16743,92238,16.508,75.9,certificates_final/056_dense_triangular_periodic_R1_k3.json
dense,triangular,periodic,1,4,exactly_certified,1,1,939,16743,92238,16.358,74.9,certificates_final/057_dense_triangular_periodic_R1_k4.json
dense,triangular,periodic,2,2,exactly_certified,1,1,2244,8184,51198,2.798,53.7,certificates_final/058_dense_triangular_periodic_R2_k2.json
dense,triangular,periodic,2,3,exactly_certified,1,1,24897,178932,921624,6.194,401.0,certificates_final/059_dense_triangular_periodic_R2_k3.json
dense,triangular,periodic,2,4,exactly_certified,1,1,127848,1272432,6782136,52.090,2458.8,certificates_final/060_dense_triangular_periodic_R2_k4.json
exact_two_body_no_fields,chain,open,1,,exactly_certified,3,3,36,84,360,0.006,27.8,certificates_final/061_exact_two_body_no_fields_chain_open_R1_knone.json
exact_two_body_no_fields,chain,open,2,,exactly_certified,5,5,117,327,2016,0.093,28.4,certificates_final/062_exact_two_body_no_fields_chain_open_R2_knone.json
exact_two_body_no_fields,chain,periodic,1,,exactly_certified,1,1,36,84,360,0.004,28.5,certificates_final/063_exact_two_body_no_fields_chain_periodic_R1_knone.json
exact_two_body_no_fields,chain,periodic,2,,exactly_certified,1,1,117,327,2016,0.045,28.7,certificates_final/064_exact_two_body_no_fields_chain_periodic_R2_knone.json
exact_two_body_no_fields,cubic,open,1,,exactly_certified,10,10,324,1218,4968,1.072,43.7,certificates_final/065_exact_two_body_no_fields_cubic_open_R1_knone.json
exact_two_body_no_fields,cubic,open,2,,exactly_certified,35,35,4239,16689,89856,584.186,80.8,certificates_final/066_exact_two_body_no_fields_cubic_open_R2_knone.json
exact_two_body_no_fields,cubic,periodic,1,,exactly_certified,1,1,324,1218,4968,1.934,341.0,certificates_final/067_exact_two_body_no_fields_cubic_periodic_R1_knone.json
exact_two_body_no_fields,cubic,periodic,2,,exactly_certified,1,1,4239,16689,89856,118.618,71.0,certificates_final/068_exact_two_body_no_fields_cubic_periodic_R2_knone.json
exact_two_body_no_fields,honeycomb,open,1,,exactly_certified,6,6,81,246,1026,0.061,93.9,certificates_final/069_exact_two_body_no_fields_honeycomb_open_R1_knone.json
exact_two_body_no_fields,honeycomb,open,2,,exactly_certified,15,15,594,2109,11826,4.491,93.9,certificates_final/070_exact_two_body_no_fields_honeycomb_open_R2_knone.json
exact_two_body_no_fields,honeycomb,periodic,1,,exactly_certified,1,1,81,246,1026,0.027,353.9,certificates_final/071_exact_two_body_no_fields_honeycomb_periodic_R1_knone.json
exact_two_body_no_fields,honeycomb,periodic,2,,exactly_certified,1,1,594,2109,11826,1.678,353.9,certificates_final/072_exact_two_body_no_fields_honeycomb_periodic_R2_knone.json
exact_two_body_no_fields,square,open,1,,exactly_certified,6,6,144,489,2016,0.141,93.9,certificates_final/073_exact_two_body_no_fields_square_open_R1_knone.json
exact_two_body_no_fields,square,open,2,,exactly_certified,15,15,1026,3729,21600,15.290,52.7,certificates_final/074_exact_two_body_no_fields_square_open_R2_knone.json
exact_two_body_no_fields,square,periodic,1,,exactly_certified,1,1,144,489,2016,0.057,93.9,certificates_final/075_exact_two_body_no_fields_square_periodic_R1_knone.json
exact_two_body_no_fields,square,periodic,2,,exactly_certified,1,1,1026,3729,21600,5.160,43.6,certificates_final/076_exact_two_body_no_fields_square_periodic_R2_knone.json
exact_two_body_no_fields,triangular,open,1,,exactly_certified,9,9,270,894,4968,0.550,353.9,certificates_final/077_exact_two_body_no_fields_triangular_open_R1_knone.json
exact_two_body_no_fields,triangular,open,2,,exactly_certified,25,25,2187,8022,49896,102.049,69.8,certificates_final/078_exact_two_body_no_fields_triangular_open_R2_knone.json
exact_two_body_no_fields,triangular,periodic,1,,exactly_certified,1,1,270,894,4968,0.246,93.9,certificates_final/079_exact_two_body_no_fields_triangular_periodic_R1_knone.json
exact_two_body_no_fields,triangular,periodic,2,,exactly_certified,1,1,2187,8022,49896,37.184,353.9,certificates_final/080_exact_two_body_no_fields_triangular_periodic_R2_knone.json
xyz_chain,chain,periodic,1,2,exactly_certified,1,1,21,33,90,0.013,27.8,certificates_final/081_xyz_chain_chain_periodic_R1_k2.json
